"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 16 13:21:57 UTC 2026","Thu Jul 16 13:21:58 UTC 2026","381","","Work Item Management","","Create USER_STORY returns 201 with status READY","","Create USER_STORY returns 201 with status READY","  As an authenticated board user
  I want to create and manage work items
  So that my team can track progress on the Kanban board"
"passed","Thu Jul 16 13:21:56 UTC 2026","Thu Jul 16 13:21:56 UTC 2026","147","","User Registration","","Valid registration returns token, ADMIN role and tenantId","","Valid registration returns token, ADMIN role and tenantId","  As a new user
  I want to register an account
  So that I can access AgentBoard"
"passed","Thu Jul 16 13:22:01 UTC 2026","Thu Jul 16 13:22:01 UTC 2026","323","","Tenant Invites and Membership","","USER cannot create invite","","USER cannot create invite","  As a tenant admin
  I want to invite and manage members
  So that my team can collaborate on AgentBoard"
"passed","Thu Jul 16 13:22:01 UTC 2026","Thu Jul 16 13:22:01 UTC 2026","263","","Tenant Invites and Membership","","New user accepts invite and becomes USER","","New user accepts invite and becomes USER","  As a tenant admin
  I want to invite and manage members
  So that my team can collaborate on AgentBoard"
"passed","Thu Jul 16 13:22:02 UTC 2026","Thu Jul 16 13:22:03 UTC 2026","276","","Project Management","","Authenticated user creates a project","","Authenticated user creates a project","  As an authenticated tenant user
  I want to manage projects
  So that I can organize work items"
"passed","Thu Jul 16 13:22:01 UTC 2026","Thu Jul 16 13:22:02 UTC 2026","352","","Tenant Invites and Membership","","Existing user accepts invite without new tenant","","Existing user accepts invite without new tenant","  As a tenant admin
  I want to invite and manage members
  So that my team can collaborate on AgentBoard"
"passed","Thu Jul 16 13:22:03 UTC 2026","Thu Jul 16 13:22:03 UTC 2026","11","","Project Management","","Unauthenticated access returns 403","","Unauthenticated access returns 403","  As an authenticated tenant user
  I want to manage projects
  So that I can organize work items"
"passed","Thu Jul 16 13:22:02 UTC 2026","Thu Jul 16 13:22:02 UTC 2026","146","","Tenant Invites and Membership","","Admin cannot revoke the only admin","","Admin cannot revoke the only admin","  As a tenant admin
  I want to invite and manage members
  So that my team can collaborate on AgentBoard"
"passed","Thu Jul 16 13:22:03 UTC 2026","Thu Jul 16 13:22:03 UTC 2026","534","","Project Management","","Cross-tenant project access returns 404","","Cross-tenant project access returns 404","  As an authenticated tenant user
  I want to manage projects
  So that I can organize work items"
"passed","Thu Jul 16 13:21:55 UTC 2026","Thu Jul 16 13:21:55 UTC 2026","528","","User Login and Tenant Selection","","Multi-tenant login returns tenant selection payload","","Multi-tenant login returns tenant selection payload","  As a registered user
  I want to authenticate and select a tenant
  So that I can obtain a scoped JWT for AgentBoard"
"passed","Thu Jul 16 13:21:51 UTC 2026","Thu Jul 16 13:21:55 UTC 2026","3269","","User Login and Tenant Selection","","Single-tenant login returns token directly","","Single-tenant login returns token directly","  As a registered user
  I want to authenticate and select a tenant
  So that I can obtain a scoped JWT for AgentBoard"
"passed","Thu Jul 16 13:21:59 UTC 2026","Thu Jul 16 13:22:00 UTC 2026","422","","Work Item Management","","Invalid hierarchy TASK parent of TASK returns 400","","Invalid hierarchy TASK parent of TASK returns 400","  As an authenticated board user
  I want to create and manage work items
  So that my team can track progress on the Kanban board"
"passed","Thu Jul 16 13:22:02 UTC 2026","Thu Jul 16 13:22:02 UTC 2026","280","","Tenant Invites and Membership","","Admin revokes USER member","","Admin revokes USER member","  As a tenant admin
  I want to invite and manage members
  So that my team can collaborate on AgentBoard"
"passed","Thu Jul 16 13:22:03 UTC 2026","Thu Jul 16 13:22:03 UTC 2026","276","","Project Management","","List projects returns array for tenant","","List projects returns array for tenant","  As an authenticated tenant user
  I want to manage projects
  So that I can organize work items"
"passed","Thu Jul 16 13:22:00 UTC 2026","Thu Jul 16 13:22:01 UTC 2026","184","","Tenant Invites and Membership","","Admin creates invite with token","","Admin creates invite with token","  As a tenant admin
  I want to invite and manage members
  So that my team can collaborate on AgentBoard"
"passed","Thu Jul 16 13:21:55 UTC 2026","Thu Jul 16 13:21:56 UTC 2026","358","","User Login and Tenant Selection","","Select-tenant returns token for chosen tenant","","Select-tenant returns token for chosen tenant","  As a registered user
  I want to authenticate and select a tenant
  So that I can obtain a scoped JWT for AgentBoard"
"passed","Thu Jul 16 13:21:56 UTC 2026","Thu Jul 16 13:21:56 UTC 2026","31","","User Registration","","Registration fails with invalid data","","Registration fails with invalid data","  As a new user
  I want to register an account
  So that I can access AgentBoard"
"passed","Thu Jul 16 13:21:56 UTC 2026","Thu Jul 16 13:21:56 UTC 2026","186","","Tenant Management","","Creating a second tenant returns ADMIN role","","Creating a second tenant returns ADMIN role","  As an authenticated user
  I want to create additional tenants
  So that I can manage multiple workspaces"
"passed","Thu Jul 16 13:22:01 UTC 2026","Thu Jul 16 13:22:01 UTC 2026","166","","Tenant Invites and Membership","","Admin cancels pending invite","","Admin cancels pending invite","  As a tenant admin
  I want to invite and manage members
  So that my team can collaborate on AgentBoard"
"passed","Thu Jul 16 13:21:59 UTC 2026","Thu Jul 16 13:21:59 UTC 2026","426","","Work Item Management","","Create TASK with USER_STORY parent","","Create TASK with USER_STORY parent","  As an authenticated board user
  I want to create and manage work items
  So that my team can track progress on the Kanban board"
"passed","Thu Jul 16 13:21:56 UTC 2026","Thu Jul 16 13:21:56 UTC 2026","188","","User Login and Tenant Selection","","Invalid credentials return 401","","Invalid credentials return 401","  As a registered user
  I want to authenticate and select a tenant
  So that I can obtain a scoped JWT for AgentBoard"
"passed","Thu Jul 16 13:22:02 UTC 2026","Thu Jul 16 13:22:02 UTC 2026","13","","Tenant Invites and Membership","","Invalid invite token returns 410","","Invalid invite token returns 410","  As a tenant admin
  I want to invite and manage members
  So that my team can collaborate on AgentBoard"
"passed","Thu Jul 16 13:21:58 UTC 2026","Thu Jul 16 13:21:59 UTC 2026","423","","Work Item Management","","Update work item status via PATCH","","Update work item status via PATCH","  As an authenticated board user
  I want to create and manage work items
  So that my team can track progress on the Kanban board"
"passed","Thu Jul 16 13:21:58 UTC 2026","Thu Jul 16 13:21:58 UTC 2026","359","","Work Item Management","","List work items returns 200","","List work items returns 200","  As an authenticated board user
  I want to create and manage work items
  So that my team can track progress on the Kanban board"
"passed","Thu Jul 16 13:22:00 UTC 2026","Thu Jul 16 13:22:00 UTC 2026","899","","Work Item Management","","Cross-tenant work item access returns 404","","Cross-tenant work item access returns 404","  As an authenticated board user
  I want to create and manage work items
  So that my team can track progress on the Kanban board"
"passed","Thu Jul 16 13:21:58 UTC 2026","Thu Jul 16 13:21:58 UTC 2026","332","","Work Item Management","","Create FEATURE returns 201 with status BACKLOG","","Create FEATURE returns 201 with status BACKLOG","  As an authenticated board user
  I want to create and manage work items
  So that my team can track progress on the Kanban board"
"passed","Thu Jul 16 13:21:56 UTC 2026","Thu Jul 16 13:21:57 UTC 2026","194","","Tenant Management","","Duplicate tenant name returns 409","","Duplicate tenant name returns 409","  As an authenticated user
  I want to create additional tenants
  So that I can manage multiple workspaces"
"passed","Thu Jul 16 13:21:56 UTC 2026","Thu Jul 16 13:21:56 UTC 2026","161","","User Registration","","Duplicate email registration returns 409","","Duplicate email registration returns 409","  As a new user
  I want to register an account
  So that I can access AgentBoard"
"passed","Thu Jul 16 13:21:56 UTC 2026","Thu Jul 16 13:21:56 UTC 2026","34","","User Registration","","Registration fails with invalid data","","Registration fails with invalid data","  As a new user
  I want to register an account
  So that I can access AgentBoard"
"passed","Thu Jul 16 13:21:56 UTC 2026","Thu Jul 16 13:21:56 UTC 2026","22","","User Registration","","Registration fails with invalid data","","Registration fails with invalid data","  As a new user
  I want to register an account
  So that I can access AgentBoard"
"passed","Thu Jul 16 13:21:57 UTC 2026","Thu Jul 16 13:21:57 UTC 2026","506","","Work Item Management","","Create TASK returns 201 with status NEW","","Create TASK returns 201 with status NEW","  As an authenticated board user
  I want to create and manage work items
  So that my team can track progress on the Kanban board"
